pa,avg,chase_pct,avg_ev,season,full_name,birth_year_clean,age
508.0,0.07217573221757322,0.3273092369477912,80.65639880952374,2022.0,Starling Marte,1988,34.0
420.0,0.06691919191919192,0.349009900990099,82.27744755244748,2022.0,Travis d'Arnaud,1989,33.0
542.0,0.05200381679389313,0.286101083032491,84.02511627906982,2022.0,Josh Donaldson,1985,37.0
696.0,0.07361733931240658,0.2723521320495186,83.45362462760676,2022.0,Freddie Freeman,1989,33.0
378.0,0.04379084967320261,0.20865139949109415,83.74227467811157,2022.0,Yasmani Grandal,1988,34.0
538.0,0.05919153031761309,0.24108818011257035,84.51244573082485,2022.0,DJ LeMahieu,1988,34.0
294.0,0.05137289636846767,0.375,81.14142156862742,2022.0,Mike Moustakas,1988,34.0
550.0,0.05306718597857838,0.29438405797101447,84.40353606789249,2022.0,Anthony Rizzo,1989,33.0
454.0,0.046162402669632924,0.26476578411405294,86.4440677966102,2022.0,Giancarlo Stanton,1989,33.0
479.0,0.06835592221567471,0.4327603640040445,84.98199356913197,2022.0,Salvador Perez,1990,32.0
591.0,0.052884615384615384,0.2634146341463415,83.08620268620272,2022.0,Wilmer Flores,1991,31.0
375.0,0.06039755351681957,0.41383989145183175,80.96518046709129,2022.0,Avisaíl García,1991,31.0
333.0,0.07483629560336763,0.4446494464944649,83.59126213592236,2022.0,Christian Bethancourt,1991,31.0
510.0,0.05313765182186235,0.3333333333333333,83.18938714499251,2022.0,Marcell Ozuna,1990,32.0
231.0,0.04805491990846682,0.29130434782608694,82.31269230769227,2022.0,Jonathan Villar,1991,31.0
388.0,0.0535475234270415,0.25682382133995035,81.41210937499987,2022.0,Rafael Ortega,1991,31.0
509.0,0.052478134110787174,0.3638790035587189,81.23780313837376,2022.0,Jesús Aguilar,1990,32.0
393.0,0.05612594113620808,0.21655172413793103,81.95021459227469,2022.0,Jon Berti,1990,32.0
455.0,0.05743651753325272,0.26260257913247365,82.31574074074065,2022.0,Brandon Crawford,1987,35.0
633.0,0.06086255542120113,0.33151326053042124,82.07064327485382,2022.0,C.J. Cron,1990,32.0
296.0,0.06747230614300101,0.3877159309021113,81.37936117936118,2022.0,Yan Gomes,1987,35.0
