pitches,fb_velocity,spin_rate,chase_pct,season,full_name,birth_year_clean,age
3049.0,88.06879432624115,2237.794326241135,0.2554027504911591,2022.0,Adam Wainwright,1981,41.0
2169.0,89.20158536585366,2286.2426829268293,0.3094405594405594,2022.0,Zack Greinke,1983,39.0
2565.0,95.03076317859953,2423.6897637795278,0.32142857142857145,2022.0,Justin Verlander,1983,39.0
1240.0,89.81395348837209,2063.1023255813952,0.25920471281296026,2022.0,Aníbal Sánchez,1984,38.0
998.0,,,0.28893905191873587,2022.0,Kenley Jansen,1987,35.0
1186.0,91.48333333333333,1949.5,0.29797979797979796,2022.0,Jesse Chavez,1983,39.0
2409.0,88.81515151515151,2276.121212121212,0.3556126820908312,2022.0,Corey Kluber,1986,36.0
1933.0,88.47712609970674,2252.053019145803,0.26477272727272727,2022.0,Rich Hill,1980,42.0
2824.0,94.89324894514768,2375.9068783068783,0.2883435582822086,2022.0,Charlie Morton,1983,39.0
900.0,93.33706293706294,2447.6769230769232,0.23448275862068965,2022.0,Ian Kennedy,1984,38.0
953.0,97.87619047619049,2661.5714285714284,0.25055432372505543,2022.0,Daniel Bard,1985,37.0
2167.0,94.01454730417092,2386.6276703967446,0.3398510242085661,2022.0,Max Scherzer,1984,38.0
908.0,90.91904761904762,2237.9523809523807,0.2588495575221239,2022.0,Mark Melancon,1985,37.0
879.0,95.20954907161804,2182.551724137931,0.3104325699745547,2022.0,Chris Martin,1986,36.0
629.0,92.09319148936171,1899.5063829787234,0.22388059701492538,2022.0,David Price,1985,37.0
2276.0,91.50047505938241,2195.4655581947745,0.31897265948632975,2022.0,Johnny Cueto,1986,36.0
914.0,97.33899082568809,2528.511467889908,0.2800925925925926,2022.0,Matt Bush,1986,36.0
2008.0,92.9761581920904,2442.511337868481,0.2981427174975562,2022.0,Lance Lynn,1987,35.0
638.0,94.34571984435797,2078.6881091617934,0.24912280701754386,2022.0,Jake McGee,1986,36.0
816.0,92.59622641509436,2388.7169811320755,0.22511848341232227,2022.0,Jhoulys Chacín,1988,34.0
2377.0,93.21880239520958,2285.039520958084,0.3480352846832398,2022.0,Carlos Carrasco,1987,35.0
930.0,97.835,2237.9,0.3158995815899582,2022.0,Luis García,1987,35.0
1151.0,93.19565217391305,2365.426086956522,0.2398753894080997,2022.0,David Phelps,1986,36.0
951.0,87.525,2614.0,0.31448763250883394,2022.0,Lucas Luetge,1987,35.0
1801.0,90.7296191819464,2407.630465444288,0.32545045045045046,2022.0,Clayton Kershaw,1988,34.0
566.0,89.09135802469136,2262.878048780488,0.3074433656957929,2022.0,Wade Miley,1986,36.0
636.0,91.47142857142856,2158.9285714285716,0.2836676217765043,2022.0,Craig Stammen,1984,38.0
1068.0,94.68308823529412,2343.720588235294,0.28413284132841327,2022.0,Adam Ottavino,1985,37.0
2744.0,91.1663306451613,2076.9393326592517,0.32719186785260485,2022.0,Jose Quintana,1989,33.0
731.0,89.88614318706696,1933.8680555555557,0.2885714285714286,2022.0,Michael Pineda,1989,33.0
1766.0,90.35449515905947,2471.1678224687935,0.2836801752464403,2022.0,Mike Minor,1987,35.0
1837.0,93.0593984962406,2172.5563909774437,0.24691358024691357,2022.0,Chris Archer,1988,34.0
2811.0,92.0215976331361,2280.0325443786983,0.3029891304347826,2022.0,Kyle Gibson,1987,35.0
1081.0,,,0.27827648114901254,2022.0,David Robertson,1985,37.0
2376.0,95.4,2008.875,0.2993421052631579,2022.0,Alex Cobb,1987,35.0
1841.0,88.5372013651877,2230.160409556314,0.26275787187839306,2022.0,Paolo Espino,1987,35.0
1069.0,92.72470187393526,2383.715502555366,0.22868217054263565,2022.0,Brad Boxberger,1988,34.0
694.0,95.4185393258427,1954.4550561797753,0.22562674094707522,2022.0,Wily Peralta,1989,33.0
3009.0,94.99420289855074,2419.227931488801,0.3031674208144796,2022.0,Yu Darvish,1986,36.0
836.0,94.35367647058823,2123.6029411764707,0.2673913043478261,2022.0,Alex Colomé,1988,34.0
953.0,95.85903614457831,2271.033734939759,0.34459459459459457,2022.0,Ryan Brasier,1987,35.0
2770.0,91.18540478905359,2209.794754846066,0.27710843373493976,2022.0,Madison Bumgarner,1989,33.0
1167.0,89.26341463414634,2377.432926829268,0.26753670473083196,2022.0,Steve Cishek,1986,36.0
1184.0,95.69832285115305,2295.1006289308175,0.2512,2022.0,Jake Diekman,1987,35.0
3056.0,92.55319829424306,2362.0042689434363,0.296248382923674,2022.0,Merrill Kelly,1988,34.0
1078.0,95.7939058171745,2261.3185595567866,0.26003824091778205,2022.0,Craig Kimbrel,1988,34.0
1221.0,93.89631675874769,2385.233885819521,0.313915857605178,2022.0,Matt Moore,1989,33.0
695.0,94.4703056768559,2512.410480349345,0.3435114503816794,2022.0,Ryan Pressly,1988,34.0
982.0,92.11885856079402,2179.017369727047,0.35797665369649806,2022.0,Will Smith,1989,33.0
1099.0,95.06751824817518,2351.660516605166,0.2621184919210054,2022.0,Hunter Strickland,1988,34.0
918.0,97.54491682070241,2392.6580406654343,0.3255360623781676,2022.0,Liam Hendriks,1989,33.0
703.0,97.76190476190476,2233.0238095238096,0.2967581047381546,2022.0,Joe Kelly,1988,34.0
2902.0,92.8036842105263,2065.6157894736843,0.2771841609050911,2022.0,Martín Pérez,1991,31.0
774.0,89.3896103896104,2132.116883116883,0.2695417789757412,2022.0,Humberto Castellanos,1998,24.0
1192.0,93.75689655172415,2189.7758620689656,0.2958257713248639,2022.0,Erasmo Ramírez,1990,32.0
2490.0,90.67852760736197,2231.39263803681,0.34811715481171546,2022.0,Tyler Anderson,1989,33.0
