avg_bat_speed,contact_pct,chase_pct,avg_ev,sweet_spot_pct,xwoba,full_name,pa,avg,obp,slg,ops,woba_official,iso,k_pct,bb_pct,xbh,hitter_type
69.48265107212475,0.758095238095238,0.3257575757575757,82.78965517241383,0.3103448275862069,0.3182204668352114,David Peralta,260,0.267,0.335,0.415,0.75,0.329,0.148,0.208,0.085,19,Type B
65.8810195227766,0.8292939936775553,0.2934560327198364,80.28361344537821,0.2895104895104895,0.3088252858856719,Charlie Blackmon,499,0.256,0.329,0.412,0.741,0.323,0.156,0.172,0.086,41,Type A
65.38693277310927,0.7870216306156406,0.2979066022544283,81.91244239631337,0.3202764976958525,0.3125218744670073,Donovan Solano,309,0.286,0.343,0.417,0.76,0.333,0.131,0.21,0.071,21,Type A
63.61496631376329,0.8478664192949907,0.2525597269624573,81.4317591499409,0.3270365997638725,0.3330373864506394,Justin Turner,539,0.259,0.354,0.383,0.737,0.327,0.124,0.176,0.109,35,Type A
70.0158389585343,0.7889305816135085,0.2340093603744149,83.72193211488252,0.27734375,0.3326018182371953,Carlos Santana,594,0.238,0.328,0.42,0.749,0.326,0.182,0.1669999999999999,0.109,49,Type C
65.10207964601773,0.8771929824561403,0.2730263157894737,80.60775862068974,0.2909482758620689,0.311832287231256,Miguel Rojas,337,0.283,0.337,0.41,0.748,0.327,0.127,0.1009999999999999,0.068,27,Type A
71.35093548387088,0.7869062901155327,0.1869469026548672,84.54765217391298,0.2916666666666667,0.3211469856857767,Tommy Pham,478,0.248,0.305,0.368,0.674,0.297,0.12,0.222,0.073,32,Type C
70.83603921568628,0.7462235649546828,0.2972572275759822,84.52765486725667,0.3152654867256637,0.3324428475480391,Paul Goldschmidt,654,0.245,0.302,0.414,0.716,0.31,0.169,0.265,0.072,56,Type B
68.79936886395515,0.7523680649526387,0.3043478260869565,81.40758483033926,0.3073852295409182,0.3421676854645533,Starling Marte,370,0.269,0.327,0.388,0.715,0.313,0.119,0.2189999999999999,0.073,23,Type D
68.25085924713584,0.817966903073286,0.2681268882175227,83.01831425598327,0.3586278586278586,0.3686090947929929,Freddie Freeman,638,0.282,0.378,0.476,0.854,0.365,0.194,0.157,0.122,59,Type A
66.90387596899225,0.8149100257069408,0.255079006772009,85.13698630136986,0.2935153583617747,0.3274546464176397,Yasmani Grandal,243,0.228,0.304,0.4,0.704,0.308,0.172,0.1889999999999999,0.099,19,Type A
71.35155935613676,0.7728155339805826,0.3270676691729323,82.81708683473387,0.2737430167597765,0.2925998943006072,Jason Heyward,258,0.211,0.288,0.412,0.7,0.3,0.202,0.205,0.085,24,Type B
66.72423133235725,0.8258426966292135,0.3364361702127659,82.25680580762251,0.2735507246376811,0.3024384748331665,Anthony Rizzo,375,0.228,0.301,0.335,0.637,0.285,0.107,0.173,0.072,20,Type A
78.72825693606755,0.6867196367763905,0.3096707818930041,86.91812977099234,0.299047619047619,0.3536122819347745,Giancarlo Stanton,459,0.233,0.298,0.475,0.773,0.33,0.242,0.312,0.083,47,Type B
63.959656398104265,0.8812785388127854,0.2865497076023391,79.23631284916196,0.329608938547486,0.2916363608931501,Wilmer Flores,242,0.206,0.277,0.318,0.595,0.262,0.112,0.136,0.083,16,Type A
72.01706106870229,0.7018181818181818,0.2642679900744417,85.04727272727273,0.3265306122448979,0.4040573206535213,Marcell Ozuna,688,0.302,0.378,0.546,0.925,0.395,0.244,0.247,0.108,70,Type B
65.92668010752692,0.7994652406417112,0.1566731141199226,81.39599999999999,0.2463768115942029,0.3010483627037767,Robbie Grossman,245,0.212,0.322,0.293,0.616,0.283,0.082,0.237,0.139,11,Type A
68.54301020408164,0.7600806451612904,0.2791127541589648,82.22865497076023,0.3294460641399417,0.298907088489232,Kyle Higashioka,263,0.22,0.263,0.476,0.739,0.314,0.256,0.281,0.057,28,Type D
66.46973684210522,0.8910411622276029,0.1706263498920086,82.56802325581393,0.2898550724637681,0.2990731454772554,Anthony Rendon,238,0.218,0.307,0.267,0.574,0.264,0.049,0.147,0.0969999999999999,10,Type A
66.16909403669729,0.8094523630907727,0.2538745387453874,82.4416161616162,0.2731854838709677,0.3196820575825252,Marcus Semien,718,0.237,0.308,0.391,0.699,0.306,0.154,0.146,0.089,52,Type A
69.14897686832735,0.7713787085514834,0.231846019247594,81.58827238335434,0.296343001261034,0.3252579168639694,George Springer,614,0.22,0.303,0.371,0.674,0.298,0.15,0.187,0.098,41,Type B
66.29344262295082,0.8855421686746988,0.297196261682243,82.26359102244393,0.2587064676616915,0.28579153433809,Ildemaro Vargas,303,0.246,0.295,0.316,0.611,0.271,0.07,0.102,0.063,17,Type A
71.89260700389106,0.8174757281553398,0.2862190812720848,85.03205128205127,0.3017902813299232,0.3656711556931412,Randal Grichuk,279,0.291,0.348,0.528,0.875,0.373,0.236,0.165,0.072,34,Type C
71.9795133437991,0.7473444613050075,0.3340425531914893,83.53982002249718,0.3015695067264574,0.3608832362977806,Bryce Harper,631,0.285,0.373,0.525,0.898,0.38,0.24,0.2189999999999999,0.12,72,Type B
66.06454108858057,0.8205666316894019,0.3667820069204152,80.73542538354258,0.3305439330543933,0.3068714429023342,Gio Urshela,461,0.25,0.286,0.361,0.647,0.281,0.111,0.156,0.05,29,Type A
68.39127399650961,0.8414322250639387,0.2993630573248407,82.28032786885248,0.3136612021857923,0.2985653728903639,Nolan Arenado,635,0.272,0.325,0.394,0.719,0.314,0.123,0.145,0.069,39,Type A
64.99395734597162,0.7955056179775281,0.3302325581395349,81.97993730407522,0.322884012539185,0.2973687993122804,Kyle Farmer,242,0.214,0.293,0.353,0.647,0.285,0.14,0.2019999999999999,0.079,19,Type A
70.37415254237294,0.6973518284993695,0.2388571428571428,84.43264887063656,0.2489795918367346,0.2979809757477432,Mitch Haniger,423,0.208,0.286,0.334,0.62,0.277,0.126,0.298,0.095,24,Type B
68.790625,0.711764705882353,0.2018209408194233,84.06411042944787,0.2914110429447852,0.3533483872965763,Max Muncy,293,0.232,0.358,0.494,0.852,0.362,0.262,0.263,0.154,32,Type D
69.97160823170735,0.7170658682634731,0.2277580071174377,83.33455377574371,0.3020594965675057,0.3137027936907453,Jon Singleton,405,0.234,0.321,0.386,0.707,0.312,0.152,0.2739999999999999,0.1159999999999999,27,Type B
72.08509918845812,0.7637795275590551,0.2465078060805259,83.24307304785899,0.310691823899371,0.3538951136407106,Christian Walker,552,0.251,0.335,0.468,0.803,0.343,0.217,0.241,0.1,52,Type B
68.8649301513387,0.7605473204104903,0.2386363636363636,84.20779436152564,0.2885572139303483,0.3039272441773927,Mike Yastrzemski,474,0.231,0.302,0.437,0.739,0.319,0.206,0.262,0.08,43,Type D
73.53308605341242,0.6647887323943662,0.2995839112343966,83.52616822429898,0.2733644859813084,0.3667514215937839,Willson Contreras,358,0.262,0.38,0.468,0.848,0.37,0.206,0.268,0.126,32,Type B
68.00209059233451,0.852233676975945,0.3889908256880734,81.22278481012658,0.3214285714285714,0.3156773912402443,Jose Iglesias,291,0.337,0.381,0.448,0.83,0.362,0.111,0.134,0.0409999999999999,21,Type A
66.28329207920795,0.8055222088835534,0.2387612387612387,81.28314238952538,0.2810457516339869,0.2926722454845852,Mark Canha,462,0.242,0.344,0.346,0.69,0.31,0.104,0.208,0.11,27,Type A
69.94159176029954,0.7207792207792207,0.3774509803921568,82.12891832229583,0.3318632855567806,0.33690845597886,Nick Castellanos,659,0.254,0.311,0.431,0.742,0.321,0.177,0.211,0.062,57,Type B
70.44451410658304,0.771513353115727,0.2660028449502133,82.35897435897436,0.2632696390658174,0.2643065538080488,Brandon Drury,360,0.169,0.242,0.228,0.469,0.217,0.058,0.225,0.075,11,Type B
75.05211864406778,0.7122069523039612,0.1892950391644908,87.51689785624207,0.3203026481715006,0.4802332899320279,Aaron Judge,704,0.322,0.458,0.701,1.159,0.476,0.379,0.243,0.1889999999999999,95,Type B
72.86510761589406,0.7774193548387097,0.2997438087105038,85.6242458100559,0.2954292084726867,0.3401139533513837,Manny Machado,643,0.275,0.325,0.472,0.797,0.34,0.197,0.193,0.07,59,Type C
70.72453241895269,0.7730582524271845,0.298804780876494,84.35148861646239,0.2924693520140105,0.3780661432739319,Joc Pederson,449,0.275,0.393,0.515,0.908,0.391,0.24,0.2339999999999999,0.122,41,Type B
73.29700973574408,0.7807486631016043,0.2644230769230769,83.61340782122907,0.2527881040892193,0.2940838808928316,Hunter Renfroe,424,0.229,0.297,0.392,0.689,0.302,0.164,0.198,0.085,33,Type C
67.78112664473683,0.7460815047021944,0.3484602917341977,82.95353773584908,0.2759433962264151,0.26394187163639,Eddie Rosario,319,0.175,0.215,0.316,0.531,0.23,0.141,0.241,0.05,22,Type D
70.60424865831847,0.7866666666666666,0.2492668621700879,83.87610837438422,0.3095823095823096,0.3726688766577605,Christian Yelich,315,0.315,0.406,0.504,0.909,0.391,0.189,0.184,0.127,26,Type C
61.297254098360675,0.8277511961722488,0.2557471264367816,79.31058091286309,0.3091286307053942,0.2998547240793453,Whit Merrifield,335,0.222,0.311,0.314,0.625,0.283,0.092,0.155,0.104,16,Type A
