avg_bat_speed,contact_pct,chase_pct,avg_ev,sweet_spot_pct,xwoba,full_name,avg,obp,slg,ops,woba_official,iso,k_pct,bb_pct,xbh,hitter_type,pa,sb,xwoba_target,oaa,primary_pos,utility,rank_score
69.48265107212475,0.758095238095238,0.3257575757575757,82.78965517241383,0.3103448275862069,0.3182204668352114,David Peralta,0.267,0.335,0.415,0.75,0.329,0.148,0.208,0.085,19,Type B,260,2,0.318,0.0,DH,1,-0.186542614283091
65.8810195227766,0.8292939936775553,0.2934560327198364,80.28361344537821,0.2895104895104895,0.3088252858856719,Charlie Blackmon,0.256,0.329,0.412,0.741,0.323,0.156,0.172,0.086,41,Type A,499,6,0.308,0.0,DH,1,0.4541427933271591
65.38693277310927,0.7870216306156406,0.2979066022544283,81.91244239631337,0.3202764976958525,0.3125218744670073,Donovan Solano,0.286,0.343,0.417,0.76,0.333,0.131,0.21,0.071,21,Type A,309,2,0.313,0.0,DH,1,0.46725576956382564
63.61496631376329,0.8478664192949907,0.2525597269624573,81.4317591499409,0.3270365997638725,0.3330373864506394,Justin Turner,0.259,0.354,0.383,0.737,0.327,0.124,0.176,0.109,35,Type A,539,0,0.333,0.0,DH,1,0.26136677272324693
70.0158389585343,0.7889305816135085,0.2340093603744149,83.72193211488252,0.27734375,0.3326018182371953,Carlos Santana,0.238,0.328,0.42,0.749,0.326,0.182,0.1669999999999999,0.109,49,Type C,594,4,0.333,8.0,1B,1,-0.019706442463965253
65.10207964601773,0.8771929824561403,0.2730263157894737,80.60775862068974,0.2909482758620689,0.311832287231256,Miguel Rojas,0.283,0.337,0.41,0.748,0.327,0.127,0.1009999999999999,0.068,27,Type A,337,8,0.312,0.0,DH,1,0.8131192723183845
71.35093548387088,0.7869062901155327,0.1869469026548672,84.54765217391298,0.2916666666666667,0.3211469856857767,Tommy Pham,0.248,0.305,0.368,0.674,0.297,0.12,0.222,0.073,32,Type C,478,7,0.321,0.0,DH,1,-0.4567417212352583
70.83603921568628,0.7462235649546828,0.2972572275759822,84.52765486725667,0.3152654867256637,0.3324428475480391,Paul Goldschmidt,0.245,0.302,0.414,0.716,0.31,0.169,0.265,0.072,56,Type B,654,11,0.332,0.0,1B,1,-0.0023992408262777654
68.79936886395515,0.7523680649526387,0.3043478260869565,81.40758483033926,0.3073852295409182,0.3421676854645533,Starling Marte,0.269,0.327,0.388,0.715,0.313,0.119,0.2189999999999999,0.073,23,Type D,370,16,0.342,0.0,DH,1,0.1374610985446738
68.25085924713584,0.817966903073286,0.2681268882175227,83.01831425598327,0.3586278586278586,0.3686090947929929,Freddie Freeman,0.282,0.378,0.476,0.854,0.365,0.194,0.157,0.122,59,Type A,638,9,0.368,1.0,1B,1,1.3846860649076356
66.90387596899225,0.8149100257069408,0.255079006772009,85.13698630136986,0.2935153583617747,0.3274546464176397,Yasmani Grandal,0.228,0.304,0.4,0.704,0.308,0.172,0.1889999999999999,0.099,19,Type A,243,1,0.327,0.0,DH,1,0.3039889239332864
71.35155935613676,0.7728155339805826,0.3270676691729323,82.81708683473387,0.2737430167597765,0.2925998943006072,Jason Heyward,0.211,0.288,0.412,0.7,0.3,0.202,0.205,0.085,24,Type B,258,5,0.293,0.0,DH,1,-0.29393832312866097
66.72423133235725,0.8258426966292135,0.3364361702127659,82.25680580762251,0.2735507246376811,0.3024384748331665,Anthony Rizzo,0.228,0.301,0.335,0.637,0.285,0.107,0.173,0.072,20,Type A,375,0,0.302,0.0,DH,1,-0.6415573388464769
78.72825693606755,0.6867196367763905,0.3096707818930041,86.91812977099234,0.299047619047619,0.3536122819347745,Giancarlo Stanton,0.233,0.298,0.475,0.773,0.33,0.242,0.312,0.083,47,Type B,459,0,0.354,0.0,DH,1,0.8744074035653319
63.959656398104265,0.8812785388127854,0.2865497076023391,79.23631284916196,0.329608938547486,0.2916363608931501,Wilmer Flores,0.206,0.277,0.318,0.595,0.262,0.112,0.136,0.083,16,Type A,242,0,0.292,0.0,DH,1,-0.6166826547517307
72.01706106870229,0.7018181818181818,0.2642679900744417,85.04727272727273,0.3265306122448979,0.4040573206535213,Marcell Ozuna,0.302,0.378,0.546,0.925,0.395,0.244,0.247,0.108,70,Type B,688,1,0.404,0.0,DH,1,1.4998817539811935
65.92668010752692,0.7994652406417112,0.1566731141199226,81.39599999999999,0.2463768115942029,0.3010483627037767,Robbie Grossman,0.212,0.322,0.293,0.616,0.283,0.082,0.237,0.139,11,Type A,245,3,0.301,0.0,DH,1,-0.7733041188277325
68.54301020408164,0.7600806451612904,0.2791127541589648,82.22865497076023,0.3294460641399417,0.298907088489232,Kyle Higashioka,0.22,0.263,0.476,0.739,0.314,0.256,0.281,0.057,28,Type D,263,2,0.299,0.0,DH,1,-1.0525670412485493
66.46973684210522,0.8910411622276029,0.1706263498920086,82.56802325581393,0.2898550724637681,0.2990731454772554,Anthony Rendon,0.218,0.307,0.267,0.574,0.264,0.049,0.147,0.0969999999999999,10,Type A,238,6,0.299,0.0,DH,1,-0.8016706837325382
