Season,Team,Total_WAR,Batter_WAR,SP_WAR,RP_WAR,Top3_WAR_Ratio,Gini_Coefficient,Wins,Losses,WS_Winner,Win_PCT
2011,ARI,39.0,27.3,9.300000000000002,2.4,0.4333333333333333,0.8260559360730595,94,68,0,0.5802469135802469
2011,ATL,31.79999999999999,16.8,9.6,5.400000000000001,0.3836477987421384,0.7578485687903972,89,73,0,0.5493827160493827
2011,BAL,14.800000000000002,11.7,4.0,-0.9000000000000001,0.8108108108108106,0.8651805337519622,69,93,0,0.42592592592592593
2011,BOS,50.9,37.4,7.8,5.699999999999999,0.4616895874263261,0.8410213243546578,90,72,0,0.5555555555555556
2011,CHC,25.60000000000001,14.6,8.3,2.7,0.4335937499999998,0.8051948051948051,71,91,0,0.4382716049382716
2011,CHW,32.60000000000001,12.3,15.500000000000002,4.800000000000001,0.3190184049079754,0.7391155965091901,79,83,0,0.4876543209876543
2011,CIN,35.2,28.800000000000004,5.800000000000001,0.6,0.440340909090909,0.7657559198542805,79,83,0,0.4876543209876543
2011,CLE,26.5,9.7,12.3,4.5,0.4226415094339623,0.7554557794716509,80,82,0,0.49382716049382713
2011,COL,24.9,12.500000000000002,8.1,4.3,0.4497991967871485,0.7959882118072061,73,89,0,0.4506172839506173
2011,DET,37.5,21.999999999999993,11.000000000000002,4.500000000000001,0.4826666666666667,0.813246753246753,95,67,0,0.5864197530864198
2011,HOU,14.7,8.700000000000001,6.4,-0.4000000000000001,0.5238095238095238,0.7939339875111509,56,106,0,0.345679012345679
2011,KCR,28.5,20.3,5.9,2.3,0.4596491228070175,0.8029181065218584,71,91,0,0.4382716049382716
2011,LAA,38.7,23.6,14.8,0.3000000000000006,0.4315245478036176,0.82461087299797,86,76,0,0.5308641975308642
2011,LAD,39.0,19.200000000000003,16.5,3.3,0.4769230769230769,0.8022604800895796,82,79,0,0.5093167701863354
2011,MIL,46.89999999999999,30.600000000000005,12.500000000000002,3.8000000000000007,0.3795309168443497,0.7983639542171058,96,66,0,0.5925925925925926
2011,MIN,11.8,4.3,7.800000000000001,-0.3000000000000004,0.6271186440677966,0.8259703599153141,63,99,0,0.3888888888888889
2011,NYM,24.9,14.2,10.0,0.6999999999999996,0.4578313253012048,0.7866666666666667,77,85,0,0.47530864197530864
2011,NYY,55.1,36.80000000000001,12.5,5.800000000000001,0.3284936479128856,0.7994682773217697,97,65,0,0.5987654320987654
2011,OAK,22.999999999999996,5.8,14.9,2.3,0.4304347826086957,0.7946785428799815,74,88,0,0.4567901234567901
2011,PHI,46.099999999999994,16.599999999999998,26.6,2.9,0.4642082429501085,0.8215277097416804,102,60,0,0.6296296296296297
2011,PIT,17.2,8.600000000000001,5.9,2.7,0.5755813953488372,0.819044293114487,72,90,0,0.4444444444444444
2011,SDP,27.699999999999996,14.1,9.7,3.9,0.4043321299638989,0.7653178087421264,71,91,0,0.4382716049382716
2011,SEA,16.299999999999997,3.1999999999999993,11.2,1.9,0.7239263803680983,0.8333736786895828,67,95,0,0.41358024691358025
2011,SFG,35.8,18.4,13.9,3.5000000000000004,0.3994413407821229,0.7534908700322236,86,76,0,0.5308641975308642
2011,STL,39.3,27.6,10.6,1.1,0.3715012722646311,0.7593934770169751,90,72,1,0.5555555555555556
2011,TBR,44.400000000000006,27.8,15.6,1.0000000000000002,0.3941441441441441,0.7877645502645503,91,71,0,0.5617283950617284
2011,TEX,53.099999999999994,34.4,17.8,0.8999999999999997,0.3370998116760829,0.7713836881251602,96,66,0,0.5925925925925926
2011,TOR,26.59999999999999,17.2,6.100000000000001,3.3,0.548872180451128,0.8484306003102996,81,81,0,0.5
2011,WSN,25.9,15.900000000000002,7.700000000000001,2.3,0.4131274131274131,0.7888071895424835,80,81,0,0.4968944099378882
2012,ARI,33.7,20.199999999999996,9.4,4.1000000000000005,0.4243323442136498,0.7915677788636047,81,81,0,0.5
2012,ATL,39.3,28.0,4.0,7.300000000000002,0.3842239185750636,0.7581399231925198,94,68,0,0.5802469135802469
2012,BAL,28.6,13.3,8.9,6.3999999999999995,0.388111888111888,0.7658673517937007,93,69,0,0.5740740740740741
2012,BOS,22.2,16.999999999999996,2.8999999999999995,2.3000000000000007,0.454954954954955,0.7844478216818642,69,93,0,0.42592592592592593
2012,CHC,12.7,10.8,3.5999999999999996,-1.6999999999999995,0.7086614173228346,0.8244548286604361,61,101,0,0.3765432098765432
2012,CHW,35.4,19.4,12.2,3.800000000000001,0.3672316384180791,0.7689134084912447,85,77,0,0.5246913580246914
2012,CIN,41.39999999999999,23.299999999999997,12.9,5.200000000000001,0.3212560386473431,0.7093222705333281,97,65,0,0.5987654320987654
2012,CLE,19.299999999999997,8.9,6.3,4.1000000000000005,0.4870466321243523,0.8136976824628157,68,94,0,0.41975308641975306
2012,COL,22.2,11.999999999999998,4.4,5.800000000000001,0.3558558558558559,0.7386792452830189,64,98,0,0.3950617283950617
2012,DET,43.1,19.7,19.4,3.999999999999999,0.4477958236658932,0.8289549932393279,88,74,0,0.5432098765432098
2012,HOU,13.000000000000002,6.099999999999999,3.9,3.0,0.5461538461538461,0.7937411095305832,55,107,0,0.3395061728395062
